iter	Passed	Remaining
0	2	2945
1	4	2397
2	6	2149
3	8	2000
4	9	1923
5	11	1864
6	13	1874
7	15	1873
8	16	1846
9	18	1809
10	19	1782
11	21	1769
12	23	1775
13	25	1778
14	26	1765
15	28	1744
16	29	1734
17	31	1725
18	33	1722
19	34	1712
20	36	1698
21	37	1688
22	39	1696
23	41	1693
24	43	1697
25	45	1692
26	47	1695
27	48	1693
28	50	1686
29	52	1681
30	53	1679
31	55	1685
32	57	1674
33	58	1669
34	60	1666
35	62	1661
36	63	1657
37	65	1654
38	67	1652
39	68	1647
40	70	1647
41	72	1643
42	73	1637
43	75	1631
44	76	1631
45	78	1634
46	80	1632
47	82	1630
48	83	1625
49	84	1614
50	86	1618
51	88	1614
52	90	1612
53	91	1609
54	93	1607
55	95	1603
56	96	1601
57	98	1597
58	99	1593
59	101	1586
60	102	1581
61	104	1577
62	106	1576
63	107	1576
64	109	1577
65	111	1573
66	113	1574
67	115	1576
68	117	1579
69	118	1573
70	119	1568
71	121	1565
72	123	1563
73	124	1562
74	126	1562
75	128	1558
76	129	1554
77	131	1552
78	133	1552
79	134	1547
80	135	1542
81	137	1541
82	139	1539
83	140	1536
84	142	1533
85	143	1530
86	145	1527
87	146	1522
88	148	1521
89	150	1524
90	152	1524
91	154	1526
92	156	1524
93	158	1526
94	160	1526
95	162	1527
96	163	1525
97	165	1522
98	167	1521
99	168	1520
100	170	1521
101	173	1530
102	177	1546
103	180	1551
104	182	1558
105	187	1583
106	190	1593
107	194	1609
108	198	1621
109	201	1630
110	204	1641
111	207	1648
112	211	1658
113	214	1663
114	217	1672
115	220	1681
116	224	1690
117	228	1707
118	231	1712
119	235	1724
120	237	1727
121	240	1727
122	242	1732
123	246	1739
124	249	1744
125	251	1746
126	254	1751
127	268	1831
128	276	1867
129	291	1947
130	294	1954
131	300	1977
132	306	1997
133	309	1998
134	312	1999
135	326	2071
136	328	2070
137	331	2069
138	333	2068
139	337	2070
140	341	2078
141	344	2080
142	346	2078
143	349	2077
144	351	2075
145	354	2072
146	356	2069
147	360	2075
148	364	2079
149	366	2079
150	370	2081
151	373	2084
152	377	2087
153	381	2094
154	384	2095
155	387	2096
156	391	2099
157	394	2099
158	397	2101
159	401	2105
160	403	2105
161	406	2103
162	409	2101
163	411	2099
164	414	2098
165	417	2095
166	419	2094
167	422	2094
168	427	2100
169	432	2113
170	435	2108
171	437	2105
172	439	2100
173	441	2094
174	443	2089
175	444	2082
176	446	2077
177	449	2074
178	451	2069
179	453	2065
180	455	2061
181	457	2056
182	459	2052
183	461	2047
184	463	2043
185	465	2038
186	468	2035
187	470	2030
188	471	2024
189	474	2021
190	476	2017
191	478	2012
192	480	2008
193	481	2002
194	484	1999
195	486	1995
196	488	1992
197	490	1987
198	493	1986
199	495	1981
200	497	1979
201	500	1976
202	502	1973
203	505	1970
204	507	1969
205	509	1964
206	511	1960
207	514	1957
208	517	1957
209	519	1955
210	521	1950
211	523	1946
212	525	1941
213	527	1935
214	528	1929
215	530	1925
216	532	1920
217	534	1915
218	535	1910
219	537	1906
220	539	1901
221	541	1896
222	543	1892
223	545	1891
224	547	1886
225	550	1884
226	552	1880
227	554	1876
228	556	1873
229	558	1869
230	560	1865
231	562	1861
232	564	1858
233	566	1855
234	568	1850
235	570	1846
236	572	1843
237	574	1838
238	576	1835
239	578	1831
240	580	1827
241	582	1823
242	584	1820
243	585	1815
244	587	1811
245	589	1808
246	591	1804
247	593	1800
248	595	1797
249	597	1792
250	599	1787
251	601	1784
252	602	1780
253	605	1777
254	607	1774
255	609	1770
256	611	1768
257	613	1764
258	615	1760
259	617	1758
260	619	1753
261	621	1749
262	623	1746
263	625	1742
264	627	1740
265	629	1736
266	631	1733
267	633	1731
268	635	1727
269	637	1724
270	640	1721
271	642	1718
272	643	1714
273	646	1712
274	647	1708
275	649	1704
276	652	1701
277	653	1698
278	655	1694
279	657	1691
280	659	1688
281	661	1685
282	664	1682
283	665	1678
284	667	1675
285	670	1672
286	671	1668
287	673	1665
288	676	1663
289	677	1659
290	679	1656
291	681	1653
292	683	1650
293	685	1646
294	688	1644
295	690	1641
296	692	1638
297	694	1635
298	695	1631
299	698	1628
300	699	1625
301	701	1622
302	703	1619
303	705	1616
304	707	1612
305	710	1610
306	712	1607
307	714	1604
308	717	1603
309	718	1600
310	721	1597
311	723	1594
312	725	1592
313	727	1590
314	729	1587
315	732	1584
316	734	1583
317	738	1583
318	741	1582
319	742	1578
320	744	1574
321	746	1572
322	749	1570
323	751	1568
324	754	1567
325	757	1565
326	759	1562
327	761	1559
328	762	1555
329	764	1552
330	766	1549
331	768	1546
332	770	1543
333	772	1540
334	774	1536
335	776	1533
336	777	1530
337	779	1526
338	781	1523
339	784	1522
340	786	1519
341	788	1517
342	790	1514
343	792	1512
344	794	1509
345	797	1506
346	799	1503
347	801	1501
348	803	1498
349	805	1495
350	807	1492
351	809	1489
352	811	1486
353	812	1483
354	814	1480
355	817	1478
356	819	1475
357	821	1472
358	823	1470
359	825	1467
360	828	1466
361	830	1463
362	832	1460
363	834	1457
364	836	1454
365	838	1452
366	840	1449
367	841	1445
368	844	1443
369	846	1440
370	848	1438
371	850	1436
372	853	1433
373	855	1431
374	856	1427
375	859	1425
376	860	1422
377	862	1418
378	864	1416
379	866	1413
380	867	1409
381	869	1407
382	871	1404
383	873	1401
384	875	1398
385	877	1395
386	879	1392
387	880	1389
388	883	1387
389	884	1384
390	886	1380
391	888	1378
392	890	1375
393	891	1371
394	893	1368
395	895	1366
396	897	1363
397	899	1360
398	901	1357
399	903	1354
400	905	1352
401	906	1349
402	908	1346
403	910	1343
404	912	1340
405	914	1337
406	916	1335
407	918	1332
408	920	1329
409	922	1327
410	924	1324
411	925	1321
412	928	1319
413	929	1316
414	932	1313
415	933	1311
416	935	1307
417	938	1306
418	940	1303
419	941	1300
420	943	1297
421	945	1295
422	947	1292
423	949	1290
424	951	1287
425	953	1284
426	955	1282
427	957	1279
428	959	1276
429	961	1273
430	963	1271
431	964	1268
432	966	1265
433	968	1262
434	969	1259
435	971	1256
436	974	1254
437	975	1251
438	977	1249
439	979	1246
440	981	1243
441	982	1240
442	985	1238
443	986	1235
444	988	1233
445	990	1230
446	992	1227
447	994	1224
448	996	1222
449	997	1219
450	999	1216
451	1001	1214
452	1003	1211
453	1005	1208
454	1006	1205
455	1008	1203
456	1010	1200
457	1012	1198
458	1014	1196
459	1016	1193
460	1018	1190
461	1020	1188
462	1022	1185
463	1024	1183
464	1026	1181
465	1029	1179
466	1030	1176
467	1033	1174
468	1035	1171
469	1036	1169
470	1038	1166
471	1040	1164
472	1042	1161
473	1044	1158
474	1046	1156
475	1048	1153
476	1050	1151
477	1052	1148
478	1053	1146
479	1055	1143
480	1057	1141
481	1059	1138
482	1060	1135
483	1063	1133
484	1064	1130
485	1066	1127
486	1068	1125
487	1070	1122
488	1071	1120
489	1073	1117
490	1075	1114
491	1077	1112
492	1078	1109
493	1080	1107
494	1082	1104
495	1084	1102
496	1086	1099
497	1088	1096
498	1090	1094
499	1092	1092
500	1094	1089
501	1096	1087
502	1097	1084
503	1099	1081
504	1101	1079
505	1103	1077
506	1105	1074
507	1106	1072
508	1109	1069
509	1110	1067
510	1112	1064
511	1114	1062
512	1116	1059
513	1118	1057
514	1119	1054
515	1121	1052
516	1123	1049
517	1125	1047
518	1127	1045
519	1129	1042
520	1131	1039
521	1133	1037
522	1135	1035
523	1137	1032
524	1139	1030
525	1141	1028
526	1143	1025
527	1145	1023
528	1146	1021
529	1148	1018
530	1151	1016
531	1152	1014
532	1154	1011
533	1156	1009
534	1158	1006
535	1160	1004
536	1162	1002
537	1164	999
538	1165	997
539	1168	995
540	1170	992
541	1172	991
542	1175	989
543	1176	986
544	1178	984
545	1180	981
546	1182	979
547	1185	977
548	1186	974
549	1188	972
550	1191	971
551	1193	968
